"Users"	"Minute"	"Measure"
84	5	"Actual"
89	10	"Actual"
126	15	"Actual"
148	20	"Actual"
131	25	"Actual"
145	30	"Actual"
129	35	"Actual"
140	40	"Actual"
170	45	"Actual"
175	50	"Actual"
169	55	"Actual"
121	60	"Actual"
99	65	"Actual"
87	70	"Actual"
89	75	"Actual"
110	80	"Actual"
156	85	"Actual"
182	90	"Actual"
215	95	"Actual"
220	100	"Actual"
18.55086631421	5	"Jitter"
31.712389963679	10	"Jitter"
70.2853363351896	15	"Jitter"
114.820778999478	20	"Jitter"
35.6681931037456	25	"Jitter"
112.33896849677	30	"Jitter"
108.967526860535	35	"Jitter"
86.0797792486846	40	"Jitter"
97.911404389888	45	"Jitter"
43.6786270467564	50	"Jitter"
55.0974574899301	55	"Jitter"
28.1556752528995	60	"Jitter"
68.2022846657783	65	"Jitter"
31.9103718213737	70	"Jitter"
71.4841419998556	75	"Jitter"
54.7699242085218	80	"Jitter"
99.7618508264422	85	"Jitter"
140.190609483048	90	"Jitter"
95.5035179434344	95	"Jitter"
137.744522131979	100	"Jitter"
